Hydropower Station Name,Database Status,ID,Country,ISO,Reservoir Name,Lake Name,Purpose,Admin_unit,Owner ,Near_city,District ,River,Main_basin,Catch_Area ,Op_Status,Comissioned,DamComplete,No_Units,Dam_hgt ,WaterHeadhgt( max),WaterHeadHgt (min),Res_capacityMm3,Res_area km2,HPP_elec_cap,Transm_exist,Transm_length,Transm_planned,Hydropower_Type,Ann_firm_gen,Ann_tot_gen,Lat (reservoir/dam),Long (reservoir/dam),Lat (hydropower station 1),Long (hydropower station 1),Lat (hydropower station 2),Long (hydropower station 2),Display,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Reference 9,Reference 10,Comment,Column1
Kalpong,Matched with hydro station,179,India,IND,,,Hydropower,Andaman & Nicobar  ,A&N Administration ,Diglipur,,Kalpong,,,Operational ,Operational since 2001,2001,,31.5,,,15.27,1.84,5.25,,,,Storage,,,13.154389,92.967351,13.156224,92.961092,,,"Matched Dams, Stations and Reservoirs",https://archive.india.gov.in/business/investment_incentives/infrastructure_an.php,,,,,,,,,,,
Nagarjuna Sagar,Matched with hydro station,28,India,IND,Nagarjuna Sagar ,,"Multi-purpose Irrigation, Hydropower",Andhra Pradesh,APGENCO,Hyderabad,,Krishna,Krishna ,,Operational ,Operational since 1960,1967,8,125,,,11560,284.9,810,220/132,,,Storage ,,,16.575556,79.311667,16.569994,79.311388,16.578114,79.314049,"Matched Dams, Stations and Reservoirs",https://en.wikipedia.org/wiki/Nagarjuna_Sagar_Dam,http://documents.worldbank.org/curated/en/346391468041671563/pdf/IPP3250v10Box3110095401PUBLIC10vol1.pdf,https://upload.wikimedia.org/wikipedia/commons/2/21/NAGARJUNA_SAGAR_DAM.pdf,https://www.thehindu.com/news/national/andhra-pradesh/consensus-still-eludes-ap-ts-over-krishna-waters/article24243007.ece,http://globalenergyobservatory.org/geoid/4428,https://apgenco.gov.in/getInfo.do,http://nwda.gov.in/upload/uploadfiles/files/9216546198.pdf,https://telanganatoday.com/crisis-stares-at-farmers-under-nagarjuna-sagar-left-canal,http://globalenergyobservatory.org/geoid/4427,http://globalenergyobservatory.org/geoid/4426," The reservoir is located between the borders of Telangana State and Andhra Pradesh State.  According to Andhra Pradesh Reorganisation Act(APRA), the dam management is being claimed the management under Adhra Pradesh State."" However, the two states shown tremendous maturity by announcing that they would share teh power generated by the power houses on fifty-fifty basis, observers say"". Water releases into canal for irrigation are utilised for power peneration.",
Penna Ahobilam,Matched with hydro station,29,India,IND,Dr KS Penna Ahobilam Balancing Reservoir ,,"Irrigation, Hydropower",Andhra Pradesh,APGENCO,Ananthpur,Anantapur ,Pennar,Pennar ,6165,Operational ,Unknown,1994,2,46,,,314.31,71.44,20,132,,,Storage ,,50,14.790555,77.299166,14.791365,77.298283,,,"Matched Dams, Stations and Reservoirs",http://wikimapia.org/9756687/PABR-Dam-Reservoir,https://irrigationap.cgg.gov.in/wrd/static/approjects/penna.html,https://apgenco.gov.in/getInfo.do,,,,,,,,"Also called PABR Dam. The Penna Ahobilam Power House is located …... Right Canal and Yadiki Canal System which generates 40 M.W. Hydro electric power besides stabilization of 7,500 acres of ayacut under tanks enroute P.A.B.R. Right Canal. The reservoir is also supporting the drinking water from this PABR Dam. Contact Number – 040-23321774 Fax – 040-23307766  Email - contactus@apgenco.gov.in  Website – apgenco.gov.in",
Srisailam,Matched with hydro station,156,India,IND,Srisailam ,,Hydropower,Andhra Pradesh,TSGENCO & APGENCO,Hyderabad,Kurnool,Krishna,Krishna ,,Operational ,Operational since 1984,1984,6,145,,,8720,616.42,900,220/132,,,Storage ,,4300,16.086892,78.897061,16.088635,78.901242,16.095738,78.903296,"Matched Dams, Stations and Reservoirs",https://www.mapsofindia.com/maps//srisailam-dam.html,https://en.wikipedia.org/wiki/Srisailam_Dam,https://web.archive.org/web/20110721165130/http://www.cwc.nic.in/main/downloads/National%20Register%20of%20Large%20%202009.pdf,http://www.contec.co.in/project/single_whole_project/52,https://www.indiawaterportal.org/articles/managing-historic-flood-krishna-river-basin-experience-averting-catastrophe-apwrdc,http://iwm.vassarlabs.com/reservoir/Summary/ALL/ALL,https://irrigationap.cgg.gov.in/wrd/static/approjects/Srisailam_right_bank_canal.html,https://www.scribd.com/document/58789365/Srisailam-HPS,https://www.tsgenco.co.in/getInfo.do,,"The second largest working hydroelectric station in the country. The Srisailam reservoir is  now named as N.S.R.S. Project ). Srisailam Right Bank Canal is located near the reservoir. Srisailam HPS is installed near the tow of the Srisailam dam  an installed capacity of 1760 MW, which is one of the biggest HPS in India. There is a NS reservoir downstream of the Srisailam HPS. The power generation is displayed at the Telangana State Power Generation Corporation Limited (TSGENCO) although the reservoir is located at Andra Pradesh State. ",
Lower Subansiri,Under construction / stalled,182,India,IND,,,Hydropower,Assam/Arunachal Pradesh ,National Hydroelectric Power Corporation (NHPC),Gogamukh,,Subansiri,,,Construction Stalled,Construction started in 2005,,8,130,,,1370,33.5,2000,,,,Run-of-River,,7421,27.5536,94.2586,,,,,"Under Construction, stalled",http://www.nhpcindia.com/Default.aspx?id=186&lg=eng&CatId=2&ProjectId=29,https://en.wikipedia.org/wiki/Subansiri_Lower_Dam,http://web.iitd.ac.in/~arunku/files/CVL100/eia_casestudy1.pdf,,,,,,,,The Subansiri Lower HE Project is the biggest hydroelectric project undertaken in India so far.The project is located near North Lakhimpur on the border of Aruncachal Pradesh  and Assam.,
Gangrel Dam (R S Sagar),Matched with hydro station,64,India,IND,Ravi Shankar Sagar,,"Irrigation, Hydropower",Chattisgarh,Chhattisgarh State Power Generation Company Limited (CSPGCL),Dhamtari,Dhamtari ,M'Nadi/ Mahanadi ,Mahanadi,,Operational ,Operational since 1979,1979,4,30.5,,,910.5,95.4,10,400/200,,,Storage,,,20.61705,81.564576,20.61705,81.564576,,,"Matched Dams, Stations and Reservoirs",http://wikimapia.org/#lang=en&lat=20.618325&lon=81.526108&z=12&m=w&v=2&show=/498901/Gangrel-Reservoir,https://en.wikipedia.org/wiki/Gangrel_Dam,http://cgwrd.in/r-data.html,http://cgwrd.in/organisation/activities/large-.html,https://www.academia.edu/25077370/Developing_of_monthly_steady_state_optimum_operating_policies_for_Ravishankar_Sagar_Reservoir_using_stochastic_Dynamic_Programming,https://www.dailypioneer.com/2017/state-editions/hydro-power-from-gangrel-dam-starts.html,,,,,,
Minimata Bango/ Hasdeo Bango Dam,Matched with hydro station,80,India,IND,Hasdeo Bango ,,"Irrigation, Hydropower",Chattisgarh,Chhattisgarh State Power Generation Company Limited (CSPGCL),Korba,Korba ,Hasdeo,,6730,Operational ,Operational since 1990,1994,3,365,67.76,34.29,3420,188.47,120,132,,,Storage ,,245,22.604,82.5977,22.604,82.5977,,,"Matched Dams, Stations and Reservoirs",http://wikimapia.org/1445526/Hasdeo-Bango-Reservoir,http://www.cgwrd.in/organisation/activities/large-.html,https://books.google.co.uk/books?id=ZKs1gBhJSWIC&pg=RA1-PA608&dq=hasdeo+bango+dam&lr=&redir_esc=y#v=onepage&q=hasdeo%20bango%20dam&f=false,http://webcache.googleusercontent.com/search?q=cache:http://www.cspc.co.in/cspgcl/powerstations/Hydel%2520Plants/Bango/Hydel%2520Plant%2520Bango.htm,,,,,,,"FRL_ Full Reservoir level =359.66 m. Capacity Gross Storage Capacity = 3416, Useful/Live = 2894 MCM. The total length of the dam is 2509.05 Mtrs. On left side of Main Dam is a rock filled dam 177m long and on right side an earthen dam of 27m height and 1778m long. This infrastructure is of TYPE Hydro Power Plant  a design capacity of 120MWe. The additions of two coloum were made: ""Height of water head at maxium"" and for minimum to record the fluctuation of the heads.",
Kadana,Matched with hydro station,62,India,IND,,Kadana Reservoir ,"Irrigation, Hydropower, flood control",Gujarat,GSECL,Godhra ,Panchmahal ,Mahi,,25520,Operational ,Operational since 1979,1989,4,66,127.7,114.3,1540,16.6,240,220,,,Pumped-storage ,,518,23.307256,73.827256,23.307256,73.827256,,,"Matched Dams, Stations and Reservoirs",https://en.wikipedia.org/wiki/Kadana_Dam,https://www.indiamart.com/proddetail/kadana-hydro-power-station-13603605997.html,http://globalenergyobservatory.org/geoid/3767,,,,,,,,,
Sardar Sarovar,Matched with hydro station,92,India,IND,Sardarsarovar ,,"Irrigation, Hydropower",Gujarat,GSECL,Bharuch,,Narmada,Narmada ,"88,000",Operational ,Operational since 2004,2017,6+5,163,140.21,110.64,9500,348.67,1450,400,,,Storage ,,3141,21.834388,73.748631,21.834388,73.748631,,,"Matched Dams, Stations and Reservoirs",http://sardarsarovardam.org/,"http://sardarsarovardam.org/fileman/Uploads/2.%20DETAILS%20OF%20SOLAR%20POWER%20PROJECT,%2031-3-2019.pdf",http://sardarsarovardam.org/fileman/Uploads/1.%20DETAILS%20OF%20SHP%20PROJECTS%20March-19.pdf,https://www.water-technology.net/projects/sardar-sarovar-dam-gujarat/,http://globalenergyobservatory.org/geoid/5279,,,,,,"Hydropower - 1,450 MW installed capacity (1billion kWh every year). There are two power houses viz. River Bed Power House[RBPH] and Canal Head Power House[CHPH]  an installed capacity of 1200 MW and 250 MW respectively. The powe is shared between three states -  Madhya Pradesh ( 57%), Maharashtra(27%), and Gujart(16%). The Dam is completed on 17.09.2017. Solar Power Projects on Narmada Branch Canals has successfully commissioned 10MW Canal Top Solar Photovoltaic Grid Connected Power Plant on Vadodara Branch Canal in Nover-2014. [see the reference link for ""Details of Solar Power Projects of SSNNL]** Development of small Hydro Power Projects at Canal Falls at various Branch Canals are in progress undere EPC mode of implementaion for the captive use of power at pumping stations of SSNNL. A lake, named Vadgam Lake, is situated nearby according to google Earth.",
Ukai,Matched with hydro station,46,India,IND,Vallabh Sagar / Ukai reservoir,,"Irrigation, Hydropower, flood control",Gujarat,GSECL,Fort Songadh,Surat/Tapi,Tapi,,"62,255",Operational ,Operational since 1964,1972,6,81,105.156,82.3,7414,600.95,305,220,,,Storage ,,1080,21.248242,73.589408,21.248242,73.589408,,,"Matched Dams, Stations and Reservoirs",https://en.wikipedia.org/wiki/Ukai_Dam,https://www.mapsofindia.com/maps//ukai-dam.html,https://www.swapdial.com/public/knowledge-contents/industrial-data/ukai-hydro-power-station/,http://gdec.in/pdf/t_p/Industrial_Visit%20Repot_ukai_2017.pdf,http://gercin.org/uploaded/document/518aeb02-604a-4a93-9dce-1c1eb09569eb.pdf,,,,,,"The Ukai Dam, constructed across the Tapti River, is the second largest reservoir in Gujarat after the Sardar Sarovar. Design Capacity is 305 MWe. Power production potential at design = 1080GWh/year. The Ukai Left Bank Canal (LBC) Hydro Power Station is located at Left Bank Cannel of Ukai Dam. There are two units of hydro turbine each of 2.5 MW  a total installed capacity of 5MW. The Hydraulic head has a height of 57m to 34m. ",
